URL 1,URL 2,URL 3,URL 4
https://www.socialnews.xyz/2023/03/28/royal-bengal-tiger-skin-pair-of-black-buck-antlers-seized-in-kolkata/,https://www.daijiworld.com/news/newsDisplay?newsID=1064700,,
https://baomoi.com/tich-thu-59-con-rua-dau-to-bi-van-chuyen-trai-phep-o-nghe-an/c/45477221.epi,https://baonghean.vn/tich-thu-59-con-rua-dau-to-bi-van-chuyen-trai-phep-o-nghe-an-post267643.html,,
https://elshinta.com/news/296621/2023/03/16/penjual-sisik-trenggiling-di-jambi-ditangkap-gakkum-klhk,https://www.detik.com/sumut/hukum-dan-kriminal/d-6623438/gakkum-klhk-tangkap-penjual-sisik-trenggiling-di-jambi,,
https://timesofindia.indiatimes.com/city/indore/13-arrested-with-pangolin-scales-and-weapons/articleshow/99228058.cms,,,
https://mobilenews24x7.com/2023/odisha-news/live-pangolin-in-bargarh-wildlife-smuggler-detained/,https://odishabytes.com/live-pangolin-rescued-one-held-in-odishas-bargarh/,,
https://telanganatoday.com/tiger-poaching-three-more-arrested-in-mancherial,https://www.hindudayashankar.com/news/forest-officials-arrest-three-poachers-and-trading-tiger-nails-in-mancherial/,,
https://www.dailypioneer.com/2023/state-editions/leopard-skin--ganja-seized--3-held-in-r---gada.html,,,
https://www.fltimes.com/news/drugs-money-and-a-rhino-horn/article_24a78cb2-d3b9-11ed-976b-5fb8535cb2fa.html,https://www.fingerlakesdailynews.com/local/ontario-seneca-wayne/rhino-horn-recovered-from-home-during-waterloo-raid,,
https://www.orissapost.com/odisha-stf-rescues-one-12kg-live-pangolin-in-bargarh/,https://www.thestatesman.com/india/live-pangolin-rescued-one-arrested-4-1503168764.html,,
https://pragativadi.com/leopard-hide-seized-in-sambalpur-1-held/,https://www.orissapost.com/odisha-one-held-on-charges-of-wildlife-crime-leopard-skin-seized/,,
https://www.deccanchronicle.com/nation/crime/040423/tiger-killed-in-komaram-bheem-asifabad-hide-seized-in-maharashtra-dur.html,,,
https://www.deccanherald.com/city/bengaluru-crime/bengaluru-man-caught-selling-tiger-claws-1209849.html,,,
https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-stf-nabs-2-with-4-7kg-pangolin-scales/articleshow/99700282.cms,https://twitter.com/Cshepherd7R/status/1650128009599537152?cxt=HHwWgMDS4dKrt-YtAAAA,,
https://albertonrecord.co.za/345799/three-men-to-face-charges-of-animal-poaching/,https://twitter.com/Crime_SpotterSA/status/1650751976026562562,,
https://en.tempo.co/read/1714470/soekarno-hatta-police-arrest-egyptian-national-over-pangolin-scale-trafficking,https://tangerang.tribunnews.com/2023/04/12/3-pelaku-jual-beli-sisik-trenggiling-dibekuk-satreskrim-polresta-bandara-soekarno-hatta,,
https://www.facebook.com/pangolincrf/,http://the-eis.com/elibrary/sites/default/files/downloads/literature/NAM_2023_04_In%20posession%20of%20pangolin%20scales_Allgemeine%20Zeitung_Eng.pdf,,
https://www.facebook.com/eagle.enforcement/,https://www.linkedin.com/posts/ofir-drori-30248b50_cameroon-2-traffickers-arrested-with-45kg-activity-7053350494886408192-V3L2/?originalSubdomain=tz,https://www.eagle-enforcement.org/data/files/eagle-briefing-april-2023-public.pdf,
https://pontianakpost.jawapos.com/daerah/kapuas-hulu/27/04/2023/satgas-pamtas-gagalkan-penyelundupan-trenggiling-ke-malaysia/,,,
https://www.lastampa.it/la-zampa/2023/04/23/news/messico_sequestrati_tigri_leoni_giaguari_cartello_droga-397298144/,https://www.theheritagetimes.com/mexican-police-arrest-10-tigers-5-lions-others-in-cartel-dominated-area/,,
https://www.orissapost.com/leopard-skin-seized-from-odishas-kandhamal-2-arrested/,https://odishatv.in/news/crime/crime-branch-stf-seizes-leopard-hide-in-phulbani-2-held-202512,,
https://www.hindustantimes.com/cities/patna-news/two-arrested-for-allegedly-planning-to-sell-bengal-tiger-skin-in-bihar-s-gaya-officials-probe-possible-racket-in-tiger-parts-smuggling-101683284358363.html,https://timesofindia.indiatimes.com/city/patna/two-arrested-with-tiger-skin-in-gaya/articleshow/99998186.cms,,
https://finance.sina.com.cn/jjxw/2023-05-07/doc-imysxuyx9145896.shtml?cref=cj,https://china.huanqiu.com/article/4CnTIiE2tms,,
https://timesofindia.indiatimes.com/city/kolhapur/2-smuggle-pangolin-scales-arrested/articleshow/100000684.cms?from=mdr,,,
https://twitter.com/pangolin_group/status/1635194291814555648?cxt=HHwWgIDT5e6isLEtAAAA,,,
https://chautauquatoday.com/news/details.cfm?clientid=25&id=348112#.ZGGK9uzMJCU,https://bigfrog104.com/illegal-lion-rug-upstate-new-york/,,
https://pragativadi.com/leopard-skin-seized-in-kandhamal-2-held/,https://timesofindia.indiatimes.com/city/bhubaneswar/2-held-with-leopard-skin-in-kandhamal/articleshow/100221329.cms,,
https://myrepublica.nagariknetwork.com/news/three-arrested-with-rhino-horn/,https://cefeey.com/the-police-arrested-three-people-with-rhino-horn/,,
https://timesofindia.indiatimes.com/city/bhubaneswar/pangolin-scales-weighing-over-2kg-seized-6-arrested-in-baripada/articleshow/100288627.cms,https://odishabytes.com/6-persons-including-forester-arrested-for-smuggling-of-pangolin-scales-in-odishas-mayurbhanj/,,
https://sambadenglish.com/odisha-stf-rescues-2-live-pangolins-arrests-two-wildlife-criminals/,https://www.daijiworld.com/news/newsDisplay?newsID=1080539,,
https://odishabytes.com/pangolin-scales-seized-2-held-in-odishas-mayurbhanj/,https://ommcomnews.com/odisha-news/forest-guard-killing-two-poachers-detained-cops-recover-4-guns-7-kg-of-pangolin-scales-in-mayurbhanj,,
https://www.nationalaccordnewspaper.com/customs-zone-d-seize-216kgs-pangolin-scales-claws-worth-n48m/,https://tribuneonlineng.com/customs-seizes-216kgs-of-pangolin-scales-claws-valued-at-n48m-in-adamawa/,,
https://kalingatv.com/state/leopard-skin-seized-in-odisha-1-arrested-5/,https://menafn.com/1106311237/Odisha-STF-Seizes-Three-Leopard-Skins-One-Held,,
https://www.facebook.com/eagle.enforcement/photos/a.913810692036622/6220048951412743/,https://www.facebook.com/LAGAcam/?locale=fr_FR,https://www.alwihdainfo.com/Cameroun-trois-trafiquants-arretes-avec-78-kg-d-ecailles-de-pangolin-a-Makenene_a123628.html,
https://www.facebook.com/eagle.enforcement,https://twitter.com/ofir_ofir/status/1663608788937572353,https://www.eagle-enforcement.org/data/files/eagle-briefing-may-2023-public.pdf,
https://twitter.com/WCCBHQ/status/1651915793741881347?cxt=HHwWhoC9zbCq5OwtAAAA,https://www.instagram.com/p/CrlBP_1P2U3/?hl=bg,,
https://www.pratidintime.com/latest-assam-news-breaking-news-assam/suspected-poacher-held-with-rhino-horn-in-assams-rangia,https://www.guwahatiplus.com/guwahati/alleged-rhino-poacher-nabbed-in-rangia,https://www.indiatodayne.in/assam/story/assam-illegal-rhino-horn-trader-falls-in-police-trap-mobile-phones-including-luxury-vehicle-seized-566769-2023-05-28,
https://malawi24.com/2023/05/26/two-found-with-pangolin-in-limbe/,https://www.malawivoice.com/2023/05/26/limbe-police-arrest-two-for-possessing-a-live-pangolin/,,
https://allafrica.com/stories/202305310111.html,https://www.msn.com/en-xl/africa/top-stories/man-47-arrested-for-allegedly-killing-pangolins-police-reports-that-pangolins-scales-are-valued-at-u-s-5-535-00/ar-AA1bW1aH,https://allafrica.com/stories/202306290217.html,https://frontpageafricaonline.com/news/liberia-joint-wildlife-team-arrests-85-year-old-kofi/
https://www.kompas.id/baca/nusantara/2023/05/10/tiga-makelar-ditangkap-bawa-dua-karung-berisi-tulang-dan-kulit-harimau-sumatera?fbclid=IwAR1KrTwORf804-4kQNvKnMPkTDblqChMeHgeNiXxESarEYvP7i3FDczMNFU,https://www.detik.com/sumut/hukum-dan-kriminal/d-6716293/3-penjual-tulang-kulit-harimau-di-sarolangun-ditangkap,,
https://kinhtenongthon.vn/Phat-hien-nhieu-dong-vat-quy-hiem-da-chet-tai-nha-nguoi-dan-o-vung-nui-TT--Hue-post56067.html?fbclid=IwAR3-SQTKpQEpfuODWP1wMzfvle3bFdzpVxXq7Ea_5sZztaFuCd9aZlTWX2E,https://danviet.vn/tt-hue-phat-hien-vu-tang-tru-hang-chuc-ca-the-dong-vat-hoang-da-da-chet-20230420164156277.htm,,
http://the-eis.com/elibrary/sites/default/files/downloads/literature/SA_2023_05_Pangolin%20dealer%20intercepted%20and%20arrested%20while%20on%20his%20way%20to%20sell%20endangered%20animal%20in%20Limpopo_IOL.pdf,https://www.iol.co.za/news/crime-and-courts/pangolin-dealer-intercepted-and-arrested-while-on-his-way-to-sell-endangered-animal-in-limpopo-44a65683-effa-4c42-9377-b3af18d0e023,,
https://timesofindia.indiatimes.com/city/guwahati/44kg-of-pangolin-scales-seized-at-mizoram-myanmar-border-2-held/articleshow/100735624.cms,https://www.indiatodayne.in/mizoram/video/mizoram-assam-rifles-foils-illegal-wildlife-trade-recovers-44-kg-of-pangolin-scales-in-zokhawthar-570271-2023-06-03,,
https://www.ofm.co.za/article/centralsa/326219/illegal-possession-of-pangolin-arrests-made-in-north-west,Https://www.news24.com/news24/southafrica/news/hawks-pounce-on-four-suspects-in-possession-of-protected-pangolin-20230604,,
https://www.ofm.co.za/article/centralsa/326219/illegal-possession-of-pangolin-arrests-made-in-north-west,https://www.news24.com/news24/southafrica/news/hawks-pounce-on-four-suspects-in-possession-of-protected-pangolin-20230604,,
https://www.freepressjournal.in/bhopal/bhopal-ex-sarpanch-among-8-poachers-held-with-tiger-leopard-skins,https://timesofindia.indiatimes.com/city/bhopal/8-held-for-poaching-big-cats-from-anuppur-dindori/articleshow/100835848.cms,,
https://www.freepressjournal.in/bhopal/bhopal-ex-sarpanch-among-8-poachers-held-with-tiger-leopard-skins,https://timesofindia.indiatimes.com/city/bhopal/8-held-for-poaching-big-cats-from-anuppur-dindori/articleshow/100835848.cms,,
https://www.newindianexpress.com/states/odisha/2023/jun/08/five-poachers-arrested-with-tiger-skin-and-claw-2583001.html,https://www.devdiscourse.com/article/headlines/2479669-chhattisgarh-forest-officials-arrest-six-from-odisha-tiger-skin-body-parts-of-other-animals-seized,https://timesofindia.indiatimes.com/city/raipur/six-poachers-arrested-on-chhattisgarh-odisha-border/articleshow/100833669.cms,
https://twitter.com/WCCBHQ/status/1669315818080043008?cxt=HHwWgIDQqYz5zKouAAAA,,,
https://twitter.com/WCCBHQ/status/1669315644456861701?cxt=HHwWioDU3f7uzKouAAAA,http://wccb.gov.in/Content/Gallery.aspx,,
https://twitter.com/WCCBHQ/status/1665650876197883906?cxt=HHwWhMC-ubOpyp0uAAAA,,,
https://kumparan.com/kumparannews/2-pria-ini-ditangkap-karena-jual-kulit-harimau-sumatera-diancam-5-tahun-bui-20Yw0hMRVHy/4,https://www.detik.com/sumut/berita/d-6762568/2-pria-jual-kulit-dan-taring-harimau-di-riau-ditangkap,,
https://www.rmolaceh.id/jual-organ-harimau-pria-di-gayo-lues-ditangkap-polisi,https://masakini.co/2023/06/15/jual-kulit-dan-tulang-harimau-pria-gayo-lues-ditangkap/,,
http://5g.dizo.com.cn/yqqjd/20230617/1798022.html,https://cq.cnr.cn/ygcq/20230613/t20230613_526287111.shtml,,
https://timesofindia.indiatimes.com/city/nagpur/2-held-with-tiger-skin-experts-say-its-fake/articleshow/101176975.cms,https://www.devdiscourse.com/article/law-order/2496167-maha-tiger-skin-seized-two-apprehended,,
https://timesofindia.indiatimes.com/city/bhubaneswar/leopard-skin-seized-3-held-in-nabarangpur/articleshow/101055916.cms?from=mdr,,,
https://timesofindia.indiatimes.com/city/kolhapur/2-held-for-smuggling-pangolin-scales/articleshow/101324712.cms?from=mdr,https://india.postsen.com/local/759844.html,,
https://www.jacarandafm.com/news/news/suspected-lion-bones-smuggler-set-appear-court/,https://www.iol.co.za/news/crime-and-courts/pics-man-arrested-at-or-tambo-after-trying-to-smuggle-bones-of-five-lions-to-vietnam-071d1de7-2681-4744-aca3-36454ea5b4e4,https://www.timeslive.co.za/news/south-africa/2023-06-24-lion-bone-trafficker-nabbed-at-or-tambo-international-airport/,https://wildeye-southern-africa.oxpeckers.org/?externalId=622
https://www.lokmattimes.com/national/four-held-with-2-leopard-skins-in-delhi/,https://www.ndtv.com/delhi-news/4-detained-with-2-leopard-skins-in-delhi-4145318,,
http://the-eis.com/elibrary/sites/default/files/downloads/literature/SA_2023_06_Police%20arrest%20Kruger%20Park%20ranger%20for%20trying%20to%20sell%20a%20pangolin_The%20Citizen.pdf,https://www.iol.co.za/capetimes/news/kruger-park-ranger-nabbed-for-selling-live-pangolin-11e23b85-c297-4c98-803a-3b55012b7952,,
https://www.guwahatiplus.com/guwahati/tiger-reserves-across-india-put-on-red-alert-after-seizure-of-tiger-skin-and-bones-in-guwahati,https://www.thehitavada.com/Encyc/2023/7/2/WCCB-issues-red-alert-for-tigerpoaching-threat-in-Pench-Tadoba.html,https://timesofindia.indiatimes.com/city/nagpur/official-apathy-hits-probe-in-assam-tiger-skin-seizure-case/articleshow/101606581.cms,
https://www.thestatesman.com/cities/chhattisgarh-three-held-for-allegedly-smuggling-pangolin-in-kanker-1503195368.html,https://www.aninews.in/news/national/general-news/chhattisgarh-three-held-for-allegedly-smuggling-pangolin-in-kanker20230629211213/,,
https://china.huanqiu.com/article/4DaRaO4hgtK,https://video.sina.cn/finance/2023-07-06/detail-imyzukvi9267865.d.html?vt=4,,
https://risingsunnewspapers.co.za/262690/man-arrested-after-being-found-with-pangolin-carcass-in-mobeni-heights/,https://www.iol.co.za/mercury/news/hawks-arrest-foreign-national-for-dealing-in-pangolin-scales-in-durban-4eab83b8-bf59-4117-a247-5ea3a1bcd6a9,,
https://www.newsday.co.zw/southerneye/news/article/200013042/trio-in-court-over-pangolin,https://bulawayo24.com/index-id-news-sc-local-byo-232247.html,https://wildeye-southern-africa.oxpeckers.org/?externalId=620,
https://www.herald.co.zw/suspected-poachers-remanded-in-custody/,https://zimbabwe.shafaqna.com/EN/AL/1599925,https://wildeye-southern-africa.oxpeckers.org/?externalId=621,
https://svw.vn/2023/06/rescue-of-a-chinese-pangolin-in-hoa-binh/,https://dantri.com.vn/xa-hoi/giai-cuu-te-te-vang-quy-hiem-20230616162538237.htm?fbclid=IwAR2uiYgh8jKMG4hPLKT5G2vuJku0QSXtm43I0kXZET-HzV6r5ef7RdLs5vg&fbclid=IwAR1T-v-AE_PnhPlUpAUQWfLOM417hb3tPrvTLT7t3oBmpcJyJ9Khf05oklg,,
http://the-eis.com/elibrary/sites/default/files/downloads/literature/NAM_2023-06_Pangolin%20skin%20confiscated_Allgemeine%20Zeitung_Eng.pdf,https://www.facebook.com/OneAfricaTelevision/?locale=zh_CN,,
https://wildeye-southern-africa.oxpeckers.org/?externalId=623,https://www.facebook.com/thenpaofsa/posts/pfbid027SgG2BprREvA8ThifTdVxFyUGdBH6seRYTp3WYrx5bfZKhLT4qSUB9k5Sz9Q8uzul,https://www.news24.com/news24/southafrica/news/the-message-is-loud-and-clear-sanparks-kruger-park-welcome-22-year-jail-term-for-rhino-poacher-20230707,
